127.0.0.1, 2016-08-31 18:12:36, GET, /, HTTP/1.1, 303, 0.000958
127.0.0.1, 2016-08-31 18:12:37, GET, /welcome/default/index, HTTP/1.1, 200, 0.746879
127.0.0.1, 2016-08-31 18:12:39, GET, /admin/default/site, HTTP/1.1, 303, 0.059018
127.0.0.1, 2016-08-31 18:12:39, GET, /admin/default/index, HTTP/1.1, 200, 0.032009
127.0.0.1, 2016-08-31 18:12:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000257
127.0.0.1, 2016-08-31 18:12:41, POST, /admin/default/index, HTTP/1.1, 303, 0.026928
127.0.0.1, 2016-08-31 18:12:41, GET, /admin/default/site, HTTP/1.1, 200, 0.041723
127.0.0.1, 2016-08-31 18:12:43, GET, /CalenZone/default/index, HTTP/1.1, 303, 0.080025
127.0.0.1, 2016-08-31 18:12:43, GET, /CalenZone/default/calendar, HTTP/1.1, 200, 0.023356
127.0.0.1, 2016-08-31 18:12:43, GET, /CalenZone/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.000439
127.0.0.1, 2016-08-31 18:12:43, GET, /CalenZone/static/css/calendar.css, HTTP/1.1, 200, 0.000380
127.0.0.1, 2016-08-31 18:12:43, GET, /CalenZone/static/js/jquery.js, HTTP/1.1, 200, 0.000454
127.0.0.1, 2016-08-31 18:12:43, GET, /CalenZone/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000444
127.0.0.1, 2016-08-31 18:12:43, GET, /CalenZone/static/bower_components/bootstrap-calendar/css/calendar.css, HTTP/1.1, 200, 0.000400
127.0.0.1, 2016-08-31 18:12:43, GET, /CalenZone/static/js/calendar.js, HTTP/1.1, 200, 0.000365
127.0.0.1, 2016-08-31 18:12:43, GET, /CalenZone/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000374
127.0.0.1, 2016-08-31 18:12:43, GET, /CalenZone/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000364
127.0.0.1, 2016-08-31 18:12:43, GET, /CalenZone/static/js/web2py.js, HTTP/1.1, 200, 0.000480
127.0.0.1, 2016-08-31 18:12:43, GET, /CalenZone/static/bower_components/underscore/underscore-min.js, HTTP/1.1, 200, 0.000409
127.0.0.1, 2016-08-31 18:12:43, GET, /CalenZone/static/bower_components/moment/moment.js, HTTP/1.1, 200, 0.000389
127.0.0.1, 2016-08-31 18:12:43, GET, /CalenZone/static/js/list.js, HTTP/1.1, 200, 0.000374
127.0.0.1, 2016-08-31 18:12:43, GET, /CalenZone/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000373
127.0.0.1, 2016-08-31 18:12:43, GET, /CalenZone/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000398
127.0.0.1, 2016-08-31 18:12:43, GET, /CalenZone/static/js/share.js, HTTP/1.1, 200, 0.000382
127.0.0.1, 2016-08-31 18:12:43, GET, /CalenZone/static/bower_components/bootstrap-calendar/js/calendar.min.js, HTTP/1.1, 200, 0.000383
127.0.0.1, 2016-08-31 18:12:43, GET, /CalenZone/static/bower_components/clipboard/dist/clipboard.min.js, HTTP/1.1, 200, 0.000382
127.0.0.1, 2016-08-31 18:12:43, POST, /admin/default/check_version, HTTP/1.1, 200, 2.370437
127.0.0.1, 2016-08-31 18:12:43, GET, /CalenZone/default/eventView.json, HTTP/1.1, 200, 0.022913
127.0.0.1, 2016-08-31 18:12:43, GET, /CalenZone/static/bower_components/bootstrap-calendar/tmpls/month.html, HTTP/1.1, 200, 0.000354
127.0.0.1, 2016-08-31 18:12:43, GET, /CalenZone/static/bower_components/bootstrap-calendar/tmpls/month-day.html, HTTP/1.1, 200, 0.000320
127.0.0.1, 2016-08-31 18:12:43, GET, /CalenZone/static/bower_components/bootstrap-calendar/tmpls/events-list.html, HTTP/1.1, 200, 0.000349
127.0.0.1, 2016-08-31 18:12:43, GET, /CalenZone/static/images/twitter.png, HTTP/1.1, 200, 0.000433
127.0.0.1, 2016-08-31 18:12:43, GET, /CalenZone/static/images/facebook.png, HTTP/1.1, 200, 0.000417
